,stop_name,stop_lat,stop_lon
532,Bad Bederkesa,53.6301,8.829324
533,Bad Bellingen,47.730804,7.557601
535,Bad Belzig,52.135967,12.594981
537,Bad Bentheim,52.30985,7.158539
540,Bad Bentheim(Gr),52.3091,7.04016
541,Bad Bergzabern,49.10321,8.002787
542,Bad Berka,50.896137,11.28155
544,Bad Berka Zeughausplatz,50.90044,11.280095
545,Bad Berleburg,51.051197,8.394109
546,Bad Bevensen,53.078247,10.574141
548,Bad Birnbach,48.432854,13.074034
549,Bad Blankenburg(Thüringerw),50.682648,11.275498
551,Bad Bodendorf,50.556267,7.217217
552,Bad Bodenteich,52.834274,10.673371
554,Bad Brambach,50.217587,12.311414
555,Bad Bramstedt,53.920593,9.890162
556,Bad Bramstedt Kurhaus,53.903366,9.89042
557,Bad Breisig,50.50422,7.304564
559,Bad Camberg,50.296432,8.255036
561,Bad Doberan,54.100002,11.905335
566,Bad Doberan Goethestraße,54.108463,11.899894
567,Bad Doberan Stadtmitte,54.10465,11.9021
568,Bad Driburg(Westf),51.730324,9.03081
570,Bad Dürkheim,49.460632,8.170701
572,Bad Dürrenberg,51.305164,12.071053
574,Bad Elster,50.296673,12.256286
575,Bad Ems,50.327652,7.728637
577,Bad Ems West,50.330692,7.706039
579,Bad Endorf,47.905067,12.301558
582,Bad Freienwalde,52.789932,14.035751
583,Bad Friedrichshall Hbf,49.23157,9.199771
590,Bad Friedrichshall-Kochendorf,49.218563,9.210985
591,Bad Gandersheim,51.86737,10.020236
593,Bad Griesbach(Schwarzwald),48.44862,8.230569
594,Bad Grönenbach,47.88247,10.253715
596,Bad Harzburg,51.88837,10.554219
600,Bad Hersfeld,50.869633,9.716182
603,Bad Holzhausen,52.289097,8.545854
605,Bad Homburg,50.219906,8.620624
610,Bad Honnef(Rhein),50.63977,7.219533
612,Bad Höhenstadt,48.494606,13.323195
613,Bad Hönningen,50.513676,7.310871
615,Bad Imnau,48.404156,8.770092
616,Bad Karlshafen,51.64627,9.44571
617,Bad Kissingen,50.191547,10.079885
620,Bad Kleinen,53.766975,11.466925
624,Bad Kohlgrub,47.668007,11.058204
626,Bad Kohlgrub Kurhaus,47.67021,11.039181
627,Bad Kreuznach,49.8424,7.866435
633,Bad Krozingen,47.91972,7.697632
637,Bad Krozingen Bahnhof,47.920284,7.69867
638,Bad Krozingen Ost,47.91714,7.70979
640,Bad König,49.73858,9.001539
642,Bad König Zell,49.720325,8.994116
643,Bad Kösen,51.13074,11.718274
645,Bad Köstritz,50.93159,12.028452
647,Bad Kötzting,49.17292,12.851892
649,Bad Laasphe,50.929314,8.42072
651,Bad Laasphe-Niederlaasphe,50.924324,8.442001
652,Bad Langensalza,51.1017,10.640671
656,Bad Lausick,51.143803,12.648695
658,Bad Lauterberg im Harz Barbis,51.619022,10.414607
660,Bad Liebenwerda,51.518402,13.40293
661,Bad Liebenzell,48.77258,8.734039
663,Bad Lobenstein,50.452415,11.641806
665,Bad Malente-Gremsmühlen,54.167015,10.55151
667,Bad Mergentheim,49.49365,9.771662
670,Bad Muskau,51.53785,14.722831
672,Bad Münder(Deister),52.178192,9.468062
674,Bad Münster a Stein,49.813427,7.846989
679,Bad Nauheim,50.367905,8.749334
681,Bad Nenndorf,52.343735,9.378603
682,Bad Neuenahr,50.547764,7.144304
684,Bad Neustadt(Saale),50.32813,10.226134
687,Bad Niedernau,48.460766,8.896533
688,Bad Oeynhausen,52.2054,8.796523
690,Bad Oldesloe,53.80539,10.382541
696,Bad Peterstal,48.428894,8.201948
697,Bad Pyrmont,51.97423,9.272719
700,Bad Rappenau,49.237766,9.101529
702,Bad Reichenhall,47.731167,12.881825
704,Bad Reichenhall-Kirchberg,47.718536,12.874001
705,Bad Rodach,50.336987,10.778387
706,Bad Saarow,52.293255,14.064929
707,Bad Saarow Klinikum,52.284634,14.065964
708,"Bad Saarow, Bahnhof",52.293587,14.064607
709,"Bad Saarow, Klinikum Bhf",52.28451,14.065979
710,"Bad Saarow, Pieskow Bahnhof",52.270782,14.07104
711,Bad Saarow-Pieskow,52.27101,14.070825
712,Bad Sachsa,51.581944,10.573211
714,Bad Salzhausen,50.418877,8.980381
715,Bad Salzschlirf,50.626934,9.494484
717,Bad Salzuflen,52.081627,8.740428
718,Bad Salzuflen-Sylbach,52.026882,8.765529
719,Bad Salzungen,50.81491,10.22943
721,Bad Sassendorf,51.58717,8.162439
724,Bad Saulgau,48.01359,9.501083
726,Bad Schandau,50.91929,14.137538
730,Bad Schandau Nationalparkbahnhof,50.9193,14.137713
731,Bad Schussenried,47.994034,9.668497
733,Bad Schwartau,53.916275,10.702722
736,Bad Schönborn Süd,49.2,8.641924
738,Bad Schönborn-Kronau,49.219345,8.646821
740,Bad Sebastiansweiler-Belsen,48.395565,9.030023
741,Bad Segeberg,53.933804,10.308163
743,Bad Sobernheim,49.78285,7.649816
747,Bad Soden(Taunus),50.143406,8.504128
749,Bad Soden-Salmünster,50.280743,9.372053
