,stop_name,stop_lat,stop_lon
1029,Plettenberg,51.23193,7.868913
1031,Plochingen,48.71308,9.41081
1036,Plzen hl.n.,49.743168,13.388244
1037,Postojna,45.7731,14.221469
1038,Potsdam Hbf,52.39151,13.066703
1040,Poznan Gl.,52.401993,16.91087
1041,Praha hl.n.,50.08306,14.436039
1042,Praha-Holesovice,50.110214,14.440013
1043,Praha-Smichov,50.060947,14.408153
1044,Prenzlau,53.32161,13.866532
1046,Prien a Chiemsee,47.855515,12.346615
1048,Przemysl Gl.,49.78366,22.776363
1049,Przeworsk,50.067215,22.503357
1050,Pörtschach am Wörther See,46.6362,14.146231
1052,Raciborz,50.09035,18.226397
1053,Radolfzell,47.735874,8.968984
1055,Radstadt,47.38424,13.467809
1056,Rankweil,47.273018,9.637252
1057,Ravensburg,47.78448,9.6061
1059,Recklinghausen Hbf,51.61636,7.20349
1061,Regensburg Hbf,49.011673,12.099617
1063,Remagen,50.577213,7.229779
1066,Rendsburg,54.30226,9.671134
1068,Reutlingen Hbf,48.49608,9.209116
1070,Rheine,52.2763,7.434255
1074,Rheydt Hbf,51.16303,6.439564
1076,Ribnitz-Damgarten Ost,54.251015,12.487015
1077,Ribnitz-Damgarten West,54.239178,12.436965
1079,Riesa,51.309654,13.287734
1081,Rijeka,45.330135,14.430337
1082,Ringsheim/Europa-Park,48.248726,7.773037
1084,Ringsted st,55.438038,11.786155
1087,Roedekro st,55.069687,9.332754
1089,Rosenheim,47.850018,12.119202
1094,Rostock Hbf,54.078247,12.131079
1100,Rottweil,48.165302,8.639295
1102,Rovereto,45.89096,11.033601
1103,Rzepin,52.350224,14.815073
1104,Rzeszow Gl.,50.043114,22.006798
1105,Saalfeld(Saale),50.650272,11.374583
1107,Saarbrücken Hbf,49.241066,6.991021
1110,Salzburg Hbf,47.81305,13.04582
1118,Salzburg Süd,47.770226,13.078491
1119,Sapjane,45.477036,14.244352
1120,Sapjane(Gr),45.505157,14.244213
1121,Sargans,47.044823,9.44626
1123,Schaffhausen,47.69828,8.632756
1126,Scharbeutz,54.01874,10.745762
1128,Schladming,47.393826,13.678151
1129,Schleswig,54.49946,9.53814
1131,Schlüchtern,50.34118,9.510039
1132,Schorndorf,48.80715,9.52631
1134,Schwarzach-St.Veit,47.318535,13.154464
1136,Schwerin Hbf,53.63474,11.407455
1140,Schwerte(Ruhr),51.44228,7.55896
1142,Schwäbisch Gmünd,48.80101,9.787795
1144,Schärding,48.46372,13.442511
1146,Schöna(Gr),50.860054,14.222133
1147,Seefeld in Tirol,47.32873,11.189483
1150,Selzthal,47.550243,14.312841
1151,Semmering,47.639553,15.830923
1152,Sevnica,46.009678,15.301231
1153,Siegburg/Bonn,50.793915,7.203026
1156,Siegen Hbf,50.87594,8.016508
1159,Siegen-Weidenau,50.895966,8.029842
1161,Sierksdorf,54.068523,10.769108
1162,Singen(Hohentwiel),47.75844,8.840383
1167,Skanderborg st,56.043564,9.924497
1169,Soest,51.57842,8.104589
1171,Solingen Hbf,51.160767,7.004187
1173,Sonthofen,47.51324,10.272344
1174,Sopot,54.440166,18.562323
1175,Spaichingen,48.06899,8.740147
1177,Spiez,46.686398,7.680103
1180,Spittal-Millstättersee,46.7957,13.487416
1182,St Georgen(Schwarzw),48.123814,8.341955
1183,St. Anton am Arlberg,47.127563,10.26699
1185,St. Gallen(CH),47.42318,9.369897
1189,St. Johann im Pongau,47.348377,13.194961
1191,St. Margrethen SG,47.453217,9.638262
1193,St. Valentin,48.179146,14.521846
1194,St.Michael in Obersteiermark,47.346622,15.009187
1195,St.Pölten Hbf,48.2083,15.624672
1197,Stadtroda,50.868217,11.722792
1199,Stainach-Irdning,47.529194,14.106753
1200,Steinach(b Rothenburg ob der Tauber),49.453217,10.273535
1202,Stendal Hbf,52.594723,11.854412
1206,Stralsund Hbf,54.308624,13.077321
1212,Strasbourg,48.58534,7.734067
1213,Straubing,48.87698,12.574094
1215,Stresa,45.88453,8.531633
1216,Sturovo,47.800125,18.67992
1217,Stuttgart Hbf,48.784084,9.181635
1232,Stuttgart-Vaihingen,48.72628,9.113226
1234,Sulz(Neckar),48.366486,8.636748
1235,Swiebodzin,52.245144,15.53954
1236,Szob(Gr),47.824898,18.844774
1237,Tarnow,50.0054,20.97418
1238,Tatabanya,47.58493,18.393612
1239,Tczew,54.09732,18.790155
1240,Telfs-Pfaffenhofen,47.30071,11.078869
1242,Thun,46.754692,7.629414
1245,Timmendorfer Strand,53.994213,10.76227
1247,Tinglev st,54.936172,9.258234
1249,Traunstein,47.869728,12.638801
1251,Trento,46.07229,11.1189
1252,Treuchtlingen,48.961266,10.908159
1256,Triberg,48.140003,8.236806
1257,Tullnerfeld,48.295235,15.996536
1259,Tuttlingen,47.98058,8.798542
1261,Tutzing,47.907143,11.27289
1263,Tübingen Hbf,48.515812,9.055407
1266,Uelzen,52.96978,10.553053
1268,Ulm Hbf,48.399437,9.982227
1275,Unna,51.538982,7.692858
1277,Usti nad Labem hl.n.,50.65956,14.044728
1278,Utrecht Centraal,52.089397,5.109861
1285,Vac,47.782726,19.13306
1286,Vaihingen(Enz),48.948116,8.957632
1288,Vamdrup st,55.428093,9.286454
1290,Vejle st,55.706356,9.536869
1292,Velden am Wörther See,46.62005,14.044838
1294,Velgast,54.277317,12.803137
1295,Venezia Mestre,45.481907,12.231898
1296,Venezia Santa Lucia,45.441395,12.320459
1297,Venlo(Gr),51.340893,6.192712
1298,Verden(Aller),52.92082,9.237855
1300,Verona Porta Nuova,45.428658,10.982739
1301,Vicenza,45.5411,11.540777
1302,Viersen,51.254948,6.403896
1304,Villach Hbf,46.618626,13.848536
1311,Villingen(Schwarzw),48.05802,8.465261
1312,Visp,46.29403,7.881465
1313,Vojens st,55.248478,9.304915
1315,Vöcklabruck,48.010067,13.663703
1316,Wanne-Eickel Hbf,51.531258,7.165783
1319,Warburg(Westf),51.492954,9.163845
1321,Waren(Müritz),53.52151,12.680678
1323,Warnemünde,54.176853,12.091271
1325,Warszawa Centralna,52.22886,21.003235
1326,Warszawa Srodmiescie,52.22774,21.00086
1327,Warszawa Wschodnia,52.25155,21.052336
1328,Warszawa Zachodnia,52.21997,20.965246
1329,Weil am Rhein,47.59397,7.608419
1330,Weilheim(Oberbay),47.845364,11.14286
1332,Weimar,50.991486,11.326458
1335,Weinheim(Bergstr)Hbf,49.553303,8.665351
1338,Weißenfels,51.204617,11.970926
1340,Wels Hbf,48.166077,14.026569
1343,Werdohl,51.259483,7.757544
1345,Werfen,47.4726,13.195183
1346,Westerland(Sylt),54.906837,8.310925
1347,Westerstede-Ocholt,53.202168,7.886468
1349,Wetzlar,50.56563,8.503819
