stop_name,stop_id,stop_lat,stop_lon
Frankfurt(Oder),1355,52.336414,14.546496
Frankfurt(Oder),223,52.336414,14.546496
Frankfurt(Oder),258,52.336414,14.546496
Frankfurt(Oder)(Gr),653,52.321175,14.576403
Fredericia st,1107,55.56809,9.738813
Fredericia st,1170,55.56809,9.738813
Fredericia st,266,55.56809,9.738813
Freiburg(Breisgau) Hbf,1068,47.997696,7.84117
Freiburg(Breisgau) Hbf,1295,47.997696,7.84117
Freiburg(Breisgau) Hbf,23,47.997696,7.84117
Freilassing,1096,47.836918,12.977193
Freilassing,1235,47.836918,12.977193
Freilassing,195,47.836918,12.977193
Freilassing,453,47.836918,12.977193
Friedrichshafen Stadt,1325,47.653225,9.4739
Fulda,1111,50.55472,9.683977
Fulda,1275,50.55472,9.683977
Fulda,1391,50.55472,9.683977
Fulda,563,50.55472,9.683977
Fürth(Bay)Hbf,1195,49.469707,10.989988
Fürth(Bay)Hbf,82,49.469707,10.989988
Garmisch-Partenkirchen,1340,47.49145,11.097013
Garmisch-Partenkirchen,368,47.49145,11.097013
Garmisch-Partenkirchen,862,47.49145,11.097013
Gdansk Glowny,1043,54.35552,18.643803
Gdansk Oliwa,196,54.409893,18.571741
Gdansk Wrzeszcz,333,54.38186,18.605434
Gdynia Glowna,525,54.52084,18.529556
Geilenkirchen,1155,50.96104,6.124518
Geilenkirchen,141,50.96104,6.124518
Geislingen(Steige),403,48.619358,9.841941
Geislingen(Steige),603,48.619358,9.841941
Gelsenkirchen Hbf,1407,51.5049,7.102455
Gelsenkirchen Hbf,237,51.5049,7.102455
Gelsenkirchen Hbf,757,51.5049,7.102455
Gelsenkirchen Hbf,789,51.5049,7.102455
Gelsenkirchen Hbf,903,51.5049,7.102455
Gelsenkirchen Hbf,997,51.5049,7.102455
Gera Hbf,1108,50.883423,12.077092
Gera Hbf,1294,50.883423,12.077092
Gera Hbf,483,50.883423,12.077092
Gliwice,839,50.301105,18.677158
Glogow,590,51.668957,16.079712
Gniezno,1379,52.52965,17.602184
Golling-Abtenau,1000,47.600574,13.164086
Golling-Abtenau,594,47.600574,13.164086
Gotha,1046,50.93907,10.712568
Gotha,267,50.93907,10.712568
Gotha,437,50.93907,10.712568
Gotha,736,50.93907,10.712568
Gotha,931,50.93907,10.712568
Graz Hbf,155,47.072296,15.416437
Graz Hbf,774,47.072296,15.416437
Greifswald,1040,54.092922,13.370262
Greifswald,579,54.092922,13.370262
Györ,548,47.68198,17.63479
Gäufelden,146,48.55966,8.850308
Gäufelden,849,48.55966,8.850308
Göppingen,345,48.700027,9.651969
Göppingen,432,48.700027,9.651969
Göppingen,971,48.700027,9.651969
Göttingen,1152,51.536816,9.926072
Göttingen,1392,51.536816,9.926072
Göttingen,1394,51.536816,9.926072
Göttingen,498,51.536816,9.926072
Göttingen,539,51.536816,9.926072
Göttingen,591,51.536816,9.926072
Göttingen,614,51.536816,9.926072
Götzis,430,47.33661,9.636696
Günzburg,136,48.460564,10.279262
Günzburg,193,48.460564,10.279262
Gütersloh Hbf,1088,51.90694,8.385071
Gütersloh Hbf,1399,51.90694,8.385071
Haffkrug,507,54.054188,10.742682
Haffkrug,570,54.054188,10.742682
Hagen Hbf,278,51.362747,7.460249
Hagen Hbf,394,51.362747,7.460249
Hagen Hbf,468,51.362747,7.460249
Hagen Hbf,569,51.362747,7.460249
Hagen Hbf,743,51.362747,7.460249
Hagen Hbf,915,51.362747,7.460249
Hagen Hbf,925,51.362747,7.460249
Hagen Hbf,974,51.362747,7.460249
Haiger,1002,50.741352,8.220657
Halle(Saale)Hbf,1145,51.47751,11.987085
Halle(Saale)Hbf,194,51.47751,11.987085
Halle(Saale)Hbf,341,51.47751,11.987085
Halle(Saale)Hbf,54,51.47751,11.987085
Hallein,714,47.68517,13.099434
Hamburg Dammtor,1234,53.560753,9.989566
Hamburg Dammtor,283,53.560753,9.989566
Hamburg Hbf,1105,53.552734,10.006909
Hamburg Hbf,152,53.552734,10.006909
Hamburg Hbf,256,53.552734,10.006909
Hamburg Hbf,259,53.552734,10.006909
Hamburg Hbf,367,53.552734,10.006909
Hamburg Hbf,451,53.552734,10.006909
Hamburg Hbf,459,53.552734,10.006909
Hamburg Hbf,46,53.552734,10.006909
Hamburg Hbf,466,53.552734,10.006909
Hamburg Hbf,527,53.552734,10.006909
Hamburg Hbf,55,53.552734,10.006909
Hamburg Hbf,612,53.552734,10.006909
Hamburg Hbf,731,53.552734,10.006909
Hamburg Hbf,846,53.552734,10.006909
Hamburg Hbf,926,53.552734,10.006909
Hamburg-Altona,1018,53.552696,9.935175
Hamburg-Altona,115,53.552696,9.935175
Hamburg-Altona,1248,53.552696,9.935175
Hamburg-Altona,15,53.552696,9.935175
Hamburg-Altona,257,53.552696,9.935175
Hamburg-Altona,68,53.552696,9.935175
Hamburg-Altona,87,53.552696,9.935175
Hamburg-Altona,906,53.552696,9.935175
Hamburg-Altona,914,53.552696,9.935175
Hamburg-Bergedorf,72,53.489834,10.206171
Hamburg-Bergedorf,917,53.489834,10.206171
Hamburg-Bergedorf,937,53.489834,10.206171
Hamburg-Harburg,1140,53.45591,9.991701
Hamburg-Harburg,1185,53.45591,9.991701
